Timestamp,Q1,Q2,Q3,Q4,X,Y,Z,Pitch,Tau1,Tau2,Tau3,Tau4,TotalPower,PlcStatus,LatencyMs
2026-08-24 14:22:45.277,0.00,60.52,49.66,0.00,-5.02,0.00,605.70,110.17,0.00,1.85,-0.85,-0.12,0.00,NORMAL,0.0
2026-08-24 14:22:44.767,0.00,60.52,49.66,0.00,-5.02,0.00,605.70,110.17,0.00,1.85,-0.85,-0.12,0.00,NORMAL,0.0
2026-08-24 14:22:44.257,0.00,60.52,49.66,0.00,-5.02,0.00,605.70,110.17,0.00,1.85,-0.85,-0.12,0.00,NORMAL,0.0
2026-08-24 14:22:43.747,0.00,60.52,49.66,0.00,-5.02,0.00,605.70,110.17,0.00,1.85,-0.85,-0.12,0.00,NORMAL,0.0
2026-08-24 14:22:43.236,0.00,60.52,49.66,0.00,-5.02,0.00,605.70,110.17,0.00,1.85,-0.85,-0.12,0.00,NORMAL,0.0
2026-08-24 14:22:42.735,0.00,60.52,49.66,0.00,-5.02,0.00,605.70,110.17,0.00,1.85,-0.85,-0.12,0.00,NORMAL,0.0
2026-08-24 14:22:42.225,0.00,60.52,49.66,0.00,-5.02,0.00,605.70,110.17,0.00,1.85,-0.85,-0.12,0.00,NORMAL,0.0
2026-08-24 14:22:41.724,0.00,60.52,49.66,0.00,-5.02,0.00,605.70,110.17,0.00,1.85,-0.85,-0.12,0.00,NORMAL,0.0
2026-08-24 14:22:41.213,0.00,60.52,49.66,0.00,-5.02,0.00,605.70,110.17,0.00,1.85,-0.85,-0.12,0.00,NORMAL,0.0
2026-08-24 14:22:40.701,0.00,60.52,49.66,0.00,-5.02,0.00,605.70,110.17,0.00,1.85,-0.85,-0.12,0.00,NORMAL,0.0
2026-08-24 14:22:40.190,0.00,60.52,49.66,0.00,-5.02,0.00,605.70,110.17,0.00,1.85,-0.85,-0.12,0.00,NORMAL,0.0
2026-08-24 14:22:39.679,0.00,60.52,49.66,0.00,-5.02,0.00,605.70,110.17,0.00,1.85,-0.85,-0.12,0.00,NORMAL,0.0
2026-08-24 14:22:39.169,0.00,60.52,49.66,0.00,-5.02,0.00,605.70,110.17,0.00,1.85,-0.85,-0.12,0.00,NORMAL,0.0
2026-08-24 14:22:38.658,0.00,60.52,49.66,0.00,-5.02,0.00,605.70,110.17,0.00,1.85,-0.85,-0.12,0.00,NORMAL,0.0
2026-08-24 14:22:38.148,0.00,60.52,49.66,0.00,-5.02,0.00,605.70,110.17,0.00,1.85,-0.85,-0.12,0.00,NORMAL,0.0
2026-08-24 14:22:37.637,0.00,60.52,49.66,0.00,-5.02,0.00,605.70,110.17,0.00,1.85,-0.85,-0.12,0.00,NORMAL,0.0
2026-08-24 14:22:37.126,0.00,60.52,49.66,0.00,-5.02,0.00,605.70,110.17,0.00,1.85,-0.85,-0.12,0.00,NORMAL,0.0
2026-08-24 14:22:36.616,0.00,60.52,49.66,0.00,-5.02,0.00,605.70,110.17,0.00,1.85,-0.85,-0.12,0.00,NORMAL,0.0
2026-08-24 14:22:36.105,0.00,60.52,49.66,0.00,-5.02,0.00,605.70,110.17,0.00,1.85,-0.85,-0.12,0.00,NORMAL,0.0
2026-08-24 14:22:35.595,0.00,60.52,49.66,0.00,-5.02,0.00,605.70,110.17,0.00,1.85,-0.85,-0.12,0.00,NORMAL,0.0
2026-08-24 14:22:35.085,0.00,60.52,49.66,0.00,441.42,0.00,291.42,0.00,0.00,6.35,2.47,0.35,0.00,NORMAL,0.0
2026-08-24 14:22:34.575,0.00,60.52,49.66,0.00,441.42,0.00,291.42,0.00,0.00,6.35,2.47,0.35,0.00,NORMAL,0.0
2026-08-24 14:22:34.065,0.00,60.52,49.66,0.00,441.42,0.00,291.42,0.00,0.00,6.35,2.47,0.35,0.00,NORMAL,0.0
2026-08-24 14:22:33.555,0.00,60.52,-45.00,0.00,441.42,0.00,291.42,0.00,0.00,6.35,2.47,0.35,0.00,NORMAL,0.0
2026-08-24 14:22:33.045,0.00,60.52,-45.00,0.00,441.42,0.00,291.42,0.00,0.00,6.35,2.47,0.35,0.00,NORMAL,0.0
2026-08-24 14:22:32.535,0.00,60.52,-45.00,0.00,441.42,0.00,291.42,0.00,0.00,6.35,2.47,0.35,0.00,NORMAL,0.0
2026-08-24 14:22:32.024,0.00,58.97,-45.00,0.00,441.42,0.00,291.42,0.00,0.00,6.35,2.47,0.35,0.00,NORMAL,0.0
2026-08-24 14:22:31.513,0.00,6.98,-45.00,0.00,441.42,0.00,291.42,0.00,0.00,6.35,2.47,0.35,0.00,NORMAL,0.0
2026-08-24 14:22:31.002,0.00,82.24,-45.00,0.00,441.42,0.00,291.42,0.00,0.00,6.35,2.47,0.35,0.00,NORMAL,0.0
2026-08-24 14:22:30.491,0.00,82.24,-45.00,0.00,441.42,0.00,291.42,0.00,0.00,6.35,2.47,0.35,0.00,NORMAL,0.0
2026-08-24 14:22:29.981,0.00,93.10,-45.00,0.00,441.42,0.00,291.42,0.00,0.00,6.35,2.47,0.35,0.00,NORMAL,0.0
2026-08-24 14:22:29.469,0.00,86.12,-45.00,0.00,441.42,0.00,291.42,0.00,0.00,6.35,2.47,0.35,0.00,NORMAL,0.0
