Timestamp,Q1,Q2,Q3,Q4,X,Y,Z,Pitch,Tau1,Tau2,Tau3,Tau4,TotalPower,PlcStatus,LatencyMs
2026-08-24 12:14:28.703,0.00,-39.97,137.40,-97.43,250.00,0.00,200.00,-0.00,0.00,4.29,0.08,0.35,0.00,NORMAL,0.0
2026-08-24 12:14:28.193,0.00,-39.97,137.40,-97.43,250.00,0.00,200.00,-0.00,0.00,4.29,0.08,0.35,0.00,NORMAL,0.0
2026-08-24 12:14:27.683,0.00,-39.97,137.40,-97.43,250.00,0.00,200.00,-0.00,0.00,4.29,0.08,0.35,0.00,NORMAL,0.0
2026-08-24 12:14:27.173,0.00,-39.97,137.40,-97.43,250.00,0.00,200.00,-0.00,0.00,4.29,0.08,0.35,0.00,NORMAL,0.0
2026-08-24 12:14:26.662,0.00,-39.97,137.40,-97.43,250.00,0.00,200.00,-0.00,0.00,4.29,0.08,0.35,0.00,NORMAL,0.0
2026-08-24 12:14:26.152,0.00,-39.97,137.40,-97.43,250.00,0.00,200.00,-0.00,0.00,4.29,0.08,0.35,0.00,NORMAL,0.0
2026-08-24 12:14:25.641,0.00,-39.97,137.40,-97.43,250.00,0.00,200.00,-0.00,0.00,4.29,0.08,0.35,0.00,NORMAL,0.0
2026-08-24 12:14:25.131,0.00,-39.97,137.40,-97.43,250.00,0.00,200.00,-0.00,0.00,4.29,0.08,0.35,0.00,NORMAL,0.0
2026-08-24 12:14:24.620,0.00,-39.97,137.40,-97.43,250.00,0.00,200.00,-0.00,0.00,4.29,0.08,0.35,0.00,NORMAL,0.0
2026-08-24 12:14:24.109,0.00,-39.97,137.40,-97.43,250.00,0.00,200.00,-0.00,0.00,4.29,0.08,0.35,0.00,NORMAL,0.0
2026-08-24 12:14:23.598,0.00,-39.97,137.40,-97.43,250.00,0.00,200.00,-0.00,0.00,4.29,0.08,0.35,0.00,NORMAL,0.0
2026-08-24 12:14:23.088,0.00,-39.97,137.40,-97.43,250.00,0.00,200.00,-0.00,0.00,4.29,0.08,0.35,0.00,NORMAL,0.0
2026-08-24 12:14:22.577,-67.03,76.81,43.45,-97.43,25.57,-60.34,546.76,22.83,0.00,0.51,-0.74,0.33,0.00,NORMAL,0.0
2026-08-24 12:14:22.067,-67.03,76.81,43.45,-97.43,25.57,-60.34,546.76,22.83,0.00,0.51,-0.74,0.33,0.00,NORMAL,0.0
2026-08-24 12:14:21.556,-67.03,76.81,43.45,-97.43,25.57,-60.34,546.76,22.83,0.00,0.51,-0.74,0.33,0.00,NORMAL,0.0
2026-08-24 12:14:21.046,-67.03,76.81,43.45,-97.43,25.57,-60.34,546.76,22.83,0.00,0.51,-0.74,0.33,0.00,NORMAL,0.0
2026-08-24 12:14:20.536,-67.03,76.81,43.45,-97.43,25.57,-60.34,546.76,22.83,0.00,0.51,-0.74,0.33,0.00,NORMAL,0.0
2026-08-24 12:14:20.026,-67.03,76.81,43.45,-97.43,25.57,-60.34,546.76,22.83,0.00,0.51,-0.74,0.33,0.00,NORMAL,0.0
2026-08-24 12:14:19.516,-67.03,76.81,43.45,-97.43,25.57,-60.34,546.76,22.83,0.00,0.51,-0.74,0.33,0.00,NORMAL,0.0
2026-08-24 12:14:19.006,-67.03,76.81,43.45,-97.43,25.57,-60.34,546.76,22.83,0.00,0.51,-0.74,0.33,0.00,NORMAL,0.0
2026-08-24 12:14:18.496,-67.03,76.81,43.45,-97.43,25.57,-60.34,546.76,22.83,0.00,0.51,-0.74,0.33,0.00,NORMAL,0.0
2026-08-24 12:14:17.985,-67.03,76.81,43.45,-97.43,25.57,-60.34,546.76,22.83,0.00,0.51,-0.74,0.33,0.00,NORMAL,0.0
2026-08-24 12:14:17.474,-67.03,76.81,43.45,-97.43,25.57,-60.34,546.76,22.83,0.00,0.51,-0.74,0.33,0.00,NORMAL,0.0
2026-08-24 12:14:16.963,-67.03,76.81,43.45,-97.43,25.57,-60.34,546.76,22.83,0.00,0.51,-0.74,0.33,0.00,NORMAL,0.0
2026-08-24 12:14:16.453,-67.03,76.81,43.45,-97.43,25.57,-60.34,546.76,22.83,0.00,0.51,-0.74,0.33,0.00,NORMAL,0.0
2026-08-24 12:14:15.942,-67.03,76.81,43.45,-97.43,25.57,-60.34,546.76,22.83,0.00,0.51,-0.74,0.33,0.00,NORMAL,0.0
2026-08-24 12:14:15.432,-67.03,76.81,43.45,-97.43,250.00,0.00,200.00,-0.00,0.00,4.29,0.08,0.35,0.00,NORMAL,0.0
2026-08-24 12:14:14.921,-67.03,76.81,43.45,-97.43,250.00,0.00,200.00,-0.00,0.00,4.29,0.08,0.35,0.00,NORMAL,0.0
2026-08-24 12:14:14.411,-67.03,76.81,-51.72,-97.43,250.00,0.00,200.00,-0.00,0.00,4.29,0.08,0.35,0.00,NORMAL,0.0
2026-08-24 12:14:13.900,-63.31,76.81,-51.72,-97.43,250.00,0.00,200.00,-0.00,0.00,4.29,0.08,0.35,0.00,NORMAL,0.0
2026-08-24 12:14:13.390,0.00,76.81,-51.72,-97.43,250.00,0.00,200.00,-0.00,0.00,4.29,0.08,0.35,0.00,NORMAL,0.0
2026-08-24 12:14:12.880,0.00,76.81,-51.72,-97.43,250.00,0.00,200.00,-0.00,0.00,4.29,0.08,0.35,0.00,NORMAL,0.0
2026-08-24 12:14:12.370,0.00,65.17,-51.72,-97.43,250.00,0.00,200.00,-0.00,0.00,4.29,0.08,0.35,0.00,NORMAL,0.0
2026-08-24 12:14:11.860,0.00,-39.97,-51.72,-97.43,250.00,0.00,200.00,-0.00,0.00,4.29,0.08,0.35,0.00,NORMAL,0.0
2026-08-24 12:14:11.350,0.00,-39.97,-51.72,-97.43,250.00,0.00,200.00,-0.00,0.00,4.29,0.08,0.35,0.00,NORMAL,0.0
2026-08-24 12:14:10.840,0.00,-39.97,106.55,-97.43,250.00,0.00,200.00,-0.00,0.00,4.29,0.08,0.35,0.00,NORMAL,0.0
2026-08-24 12:14:10.330,0.00,-39.97,137.40,-97.43,250.00,0.00,200.00,-0.00,0.00,4.29,0.08,0.35,0.00,NORMAL,0.0
2026-08-24 12:14:09.819,0.00,-39.97,137.40,-97.43,250.00,0.00,200.00,-0.00,0.00,4.29,0.08,0.35,0.00,NORMAL,0.0
2026-08-24 12:14:09.309,0.00,-39.97,137.40,-97.43,250.00,0.00,200.00,-0.00,0.00,4.29,0.08,0.35,0.00,NORMAL,0.0
2026-08-24 12:14:08.798,0.00,-39.97,137.40,-97.43,250.00,0.00,200.00,-0.00,0.00,4.29,0.08,0.35,0.00,NORMAL,0.0
2026-08-24 12:14:08.287,0.00,-39.97,137.40,-97.43,250.00,0.00,200.00,-0.00,0.00,4.29,0.08,0.35,0.00,NORMAL,0.0
2026-08-24 12:14:07.776,0.00,-39.97,137.40,-97.43,250.00,0.00,200.00,-0.00,0.00,4.29,0.08,0.35,0.00,NORMAL,0.0
2026-08-24 12:14:07.265,0.00,-39.97,137.40,-97.43,250.00,0.00,200.00,-0.00,0.00,4.29,0.08,0.35,0.00,NORMAL,0.0
2026-08-24 12:14:06.754,-11.17,34.14,-45.00,0.00,441.42,0.00,291.42,0.00,0.00,6.35,2.47,0.35,0.00,NORMAL,0.0
2026-08-24 12:14:06.243,-11.17,34.14,-45.00,0.00,441.42,0.00,291.42,0.00,0.00,6.35,2.47,0.35,0.00,NORMAL,0.0
2026-08-24 12:14:05.732,-11.17,34.14,-45.00,0.00,441.42,0.00,291.42,0.00,0.00,6.35,2.47,0.35,0.00,NORMAL,0.0
2026-08-24 12:14:05.221,-11.17,34.14,-45.00,0.00,441.42,0.00,291.42,0.00,0.00,6.35,2.47,0.35,0.00,NORMAL,0.0
